group,pretest,posttest,followup
Program,64,85,Yes
Program,68,85,Yes
Program,60,85,Yes
Program,68,85,Yes
Program,64,85,Yes
Program,68,85,Yes
Program,60,85,Yes
Program,68,85,Yes
Program,48,81,Yes
Program,64,81,Yes
Program,64,81,Yes
Program,52,81,Yes
Program,56,81,Yes
Program,48,81,Yes
Program,64,81,Yes
Program,64,81,Yes
Program,52,81,Yes
Program,56,81,Yes
Program,64,77,Yes
Program,64,77,Yes
Program,48,73,Yes
Program,40,73,Yes
Program,48,73,Yes
Program,40,73,Yes
Program,50,69,Yes
Program,68,69,Yes
Program,36,69,Yes
Program,52,69,Yes
Program,68,69,Yes
Program,36,69,Yes
Program,38,65,Yes
Program,36,65,Yes
Program,40,65,Yes
Program,48,65,Yes
Program,40,65,Yes
Program,56,65,No
Program,52,65,No
Program,48,65,Yes
Program,36,65,Yes
Program,40,65,Yes
Program,48,65,Yes
Program,40,65,Yes
Program,56,65,No
Program,52,65,No
Program,48,61,Yes
Program,48,61,Yes
Program,38,57,Yes
Program,44,57,Yes
Program,44,57,Yes
Program,48,57,Yes
Program,44,57,Yes
Program,44,57,Yes
Program,36,53,Yes
Program,48,53,Yes
Program,36,53,Yes
Program,48,53,Yes
Program,48,45,Yes
Program,48,45,Yes
Program,32,41,Yes
Program,32,41,Yes
Program,52,47,No
Program,52,62,No
Program,52,50,Yes
Program,41,41,Yes
Control,54,79,Yes
Control,44,76,Yes
Control,44,67,Yes
Control,44,79,Yes
Control,52,72,Yes
Control,43,71,Yes
Control,52,55,Yes
Control,50,56,Yes
Control,42,67,Yes
Control,48,55,Yes
Control,56,46,Yes
Control,50,59,Yes
Control,50,75,Yes
Control,44,75,No
Control,48,75,Yes
Control,56,75,Yes
Control,60,75,Yes
Control,60,75,Yes
Control,49,75,No
Control,56,75,Yes
Control,60,75,Yes
Control,60,75,Yes
Control,64,67,Yes
Control,68,67,Yes
Control,68,67,Yes
Control,64,67,Yes
Control,68,67,Yes
Control,48,67,Yes
Control,48,65,Yes
Control,48,67,Yes
Control,52,63,Yes
Control,52,63,Yes
Control,48,63,Yes
Control,40,63,Yes
Control,52,63,Yes
Control,52,63,Yes
Control,48,63,Yes
Control,40,63,Yes
Control,42,59,Yes
Control,36,59,Yes
Control,48,59,No
Control,44,59,Yes
Control,36,59,Yes
Control,48,59,No
Control,40,51,Yes
Control,40,51,Yes
Control,56,47,No
Control,44,47,No
Control,56,47,No
Control,44,47,No
Control,44,43,Yes
Control,40,43,Yes
Control,52,43,No
Control,44,43,Yes
Control,40,43,Yes
Control,52,43,No
Control,60,39,No
Control,60,39,No
Control,40,40,Yes
Control,52,34,No
Control,40,49,Yes
Control,52,34,No
Control,44,47,No
Control,44,46,No
